id,requirement,stage,issuer,validity,source_section,doc_type,applies_to,validity_kind,validity_amount,validity_unit,validity_anchor,espd_criterion
R1,Προηγμένη ψηφιακή υπογραφή (εγκεκριμένο πιστοποιητικό),Α0,Εγκεκριμένος πάροχος (λίστα εμπίστευσης ΕΕ),σε ισχύ,3.2.1,qualified_signature_certificate,client,in_force,,,submission,
R2,Εγγραφή οικονομικού φορέα στο ΕΣΗΔΗΣ,Α0,ΟΠΣ ΕΣΗΔΗΣ,-,4.2.1.γ,esidis_registration,client,none,,,,
R3,ΕΕΕΣ (κατηγορία Β),Α2,Promitheus ESPDint,υπογραφή μέσα στην περίοδο του ΔΣΑ,"3.1, 3.2",espd_response,client,manual,,,,
R4,Υπεύθυνη δήλωση Μη Ρωσικής εμπλοκής,Α2 + Β9,Πελάτης,-,"3.2.6, 5.3.2 στ",declaration_no_russian_involvement,client,manual,,,,
R5,Άδεια κυκλοφορίας ΕΔΧ,"Α1, Β9",Δ/νση Μεταφορών,σε ισχύ,"2.2.6, 5.3.2 Β.4",vehicle_circulation_licence,vehicle,in_force,,,submission,
R6,"Ασφαλιστήριο (με επιβαίνοντες, για όλη τη σύμβαση)","Α1, Β9, Γ",Ασφαλιστική,σε ισχύ και για όλη τη διάρκεια,"2.2.6, 7.6.15",vehicle_insurance_passengers,vehicle,in_force,,,submission,
R7,ΚΤΕΟ,"Α1, Β9, Γ",ΚΤΕΟ,σε ισχύ,2.2.6,vehicle_roadworthiness_test,vehicle,in_force,,,submission,
R8,"Εγγύηση συμμετοχής 0,2% της αξίας των δρομολογίων",Β4,Τράπεζα / ΤΠΔ,ισχύς ≥ ισχύς προσφοράς + 30 ημέρες· έντυπο πρωτότυπο ως την αποσφράγιση,4.3.1.2,participation_guarantee,offer,valid_until,30,days,offer_validity_end,
R9,"Υπεύθυνη δήλωση δρομολογίων, πινακίδων, δυναμικότητας, ζωνών",Β4,Πελάτης,υπογραφή μετά την πρόσκληση,4.3.1.1,declaration_routes_plates_zones,offer,signed_after,,,invitation_sent,
R10,Υπεύθυνη δήλωση συναίνεσης συνιδιοκτήτη (γνήσιο υπογραφής),Β4,Συνιδιοκτήτης (gov.gr/ΚΕΠ),για όλη τη σύμβαση,4.3.1.1,declaration_co_owner_consent,vehicle,signed_after,,,invitation_sent,
R11,"Υπόδειγμα οικονομικής προσφοράς (Παράρτημα ΙΙΙ της διακήρυξης, ΙΙ στις προσκλήσεις του 2026) + φόρμα ΕΣΗΔΗΣ (ακέραια έκπτωση, και ολογράφως στο Υπόδειγμα, σειρά προτεραιότητας)",Β5,Πελάτης,ισχύς 12 μήνες,"4.3.2, 4.4.1",financial_offer,offer,manual,,,,
R12,Απόσπασμα ποινικού μητρώου,Β9,gov.gr,≤3 μήνες πριν την υποβολή,5.3.2 α1,criminal_record_extract,client,issued_within,3,months,submission,
R13,Φορολογική ενημερότητα,"Β9, Γ",ΑΑΔΕ,σε ισχύ κατά την υποβολή,5.3.2 β.i,tax_clearance,client,in_force,,,submission,
R14,Ασφαλιστική ενημερότητα,"Β9, Γ",e-ΕΦΚΑ,σε ισχύ κατά την υποβολή,5.3.2 β.ii,social_security_clearance,client,in_force,,,submission,
R15,Ενιαίο Πιστοποιητικό Δικαστικής Φερεγγυότητας,Β9,Πρωτοδικείο,≤3 μήνες,5.3.2 γ.i,insolvency_certificate,client,issued_within,3,months,submission,
R16,Εκτύπωση «Στοιχεία Μητρώου/Επιχείρησης» από Taxisnet,Β9,ΑΑΔΕ,πρόσφατη,5.3.2 γ.iii,tax_registry_printout,client,manual,,,,
R17,"Υπεύθυνες δηλώσεις: μη τελεσίδικης οφειλής, λοιπών λόγων 2.2.3.4, μη οριζόντιου αποκλεισμού",Β9,Πελάτης,-,"5.3.2 β.iii, δ, ε",declarations_exclusion_grounds,client,manual,,,,
R18,ΓΕΜΗ/επιμελητήριο ή υπεύθυνη δήλωση μη υποχρέωσης + ειδική άδεια ΕΔΧ,Β9,ΓΕΜΗ / Περιφέρεια,≤30 εργάσιμες,5.3.2 Β.2,business_registry_certificate,client,issued_within,30,working_days,submission,
R19,Πίνακας αντιστοίχισης δρομολογίου–πινακίδας (ψηφιακά υπογεγραμμένος),Β9,Πελάτης,-,5.3.2 Β.4 δ,route_plate_table,offer,manual,,,,
R20,Άδεια οδήγησης + ειδική άδεια οδήγησης ΕΔΧ (για κάθε οδηγό),Β9,Δ/νση Μεταφορών,σε ισχύ,5.3.2 Β.4.2 β,driving_licence_professional,driver,in_force,,,submission,
R21,"Υπεύθυνη δήλωση κάθε οδηγού και κάθε συνοδού (αδικήματα ΚΥΑ, συμπαράσταση)",Β9,gov.gr,-,5.3.2 Β.4.2 γ,declaration_driver_escort_offences,"driver,escort",manual,,,,
R22,Εγγύηση καλής εκτέλεσης 4%,Β10,Τράπεζα / ΤΠΔ,έως 2 μήνες μετά τη λήξη της σύμβασης,6.2,performance_guarantee,engagement,valid_until,2,months,contract_end,
R23,Βεβαίωση Διευθυντή + τιμολόγιο + ενημερότητες,Γ (σε κάθε πληρωμή),Σχολείο / πελάτης / ΑΑΔΕ / ΕΦΚΑ,ανά πληρωμή,6.6.1,payment_documents,engagement,manual,,,,
R24,Μισθωτήριο ή παραχωρητήριο για όχημα που δεν ανήκει στον πελάτη,Β4,Πελάτης / ιδιοκτήτης οχήματος,για όλη τη διάρκεια της σύμβασης,4.3.1.1,vehicle_lease_or_concession,vehicle,manual,,,,
R25,"Ιατρικό πιστοποιητικό υγείας συνοδού (παθολογική, δερματολογική, ψυχιατρική εξέταση)",Β9,Ιατροί,σε ισχύ κατά την υποβολή· ανανέωση κάθε 2 έτη,5.3.2 Β.4.2 α,escort_health_certificate,escort,in_force,,,submission,
R26,Πίνακας οχημάτων ανά δρομολόγιο με ονοματεπώνυμο οδηγού και συνοδού ανά όχημα,Β10,Πελάτης,στην προθεσμία της πρόσκλησης για υπογραφή· το πολύ 20 ημέρες,5.5,vehicle_staff_table,engagement,manual,,,,
